Dog,Truck,,,,,,,,,,,
Dog,Bed,Phone,,,,,,,,,,
Dog,Person,Car,Bench,Handbag,Clock,,,,,,,
Dog,Bed,Clock,,,,,,,,,,
Dog,Person,Sheep,Handbag,,,,,,,,,
Dog,Couch,,,,,,,,,,,
Dog,Person,Frisbee,Surfboard,,,,,,,,,
Dog,Truck,Person,,,,,,,,,,
Dog,Cat,,,,,,,,,,,
Dog,Person,Knife,Bowl,Sink,,,,,,,,
Dog,Bed,,,,,,,,,,,
Dog,Bottle,Chair,Table,Scissors,,,,,,,,
Dog,Car,Motorcycle,Traffic Light,,,,,,,,,
Dog,Pizza,Couch,,,,,,,,,,
Dog,Person,Motorcycle,,,,,,,,,,
Dog,Person,Bench,Sheep,Handbag,,,,,,,,
Dog,Person,Bike,Car,Backpack,Handbag,,,,,,,
Dog,Person,Motorcycle,,,,,,,,,,
Dog,Person,Bottle,Chair,Potted Plant,Table,,,,,,,
Dog,Person,Motorcycle,Chair,Phone,,,,,,,,
Dog,Person,,,,,,,,,,,
Dog,Person,Car,Bench,Handbag,Cup,Hot Dog,,,,,,
Dog,Person,Sheep,,,,,,,,,,
Dog,Bed,Phone,,,,,,,,,,
Dog,Car,,,,,,,,,,,
Dog,Person,Chair,Couch,Bed,Laptop,Book,,,,,,
Dog,Person,Bench,,,,,,,,,,
Dog,Person,Umbrella,,,,,,,,,,
Dog,Couch,,,,,,,,,,,
Dog,Person,Boat,,,,,,,,,,
Dog,Bird,,,,,,,,,,,
Dog,Cat,,,,,,,,,,,
Dog,Person,Horse,Tie,,,,,,,,,
Dog,Truck,,,,,,,,,,,
Dog,Person,Bench,Potted Plant,,,,,,,,,
Dog,Person,Motorcycle,,,,,,,,,,
Dog,Person,Car,Backpack,Handbag,,,,,,,,
Dog,Boat,,,,,,,,,,,
Dog,Train,,,,,,,,,,,
Dog,Person,Bed,Remote,Phone,,,,,,,,
Dog,Person,TV,Vase,,,,,,,,,
Dog,Surfboard,,,,,,,,,,,
Dog,Person,Bench,,,,,,,,,,
Dog,Bus,Truck,,,,,,,,,,
Dog,Person,Car,Backpack,,,,,,,,,
Dog,Person,Truck,Horse,Sheep,,,,,,,,
Dog,Cat,Couch,,,,,,,,,,
Dog,Frisbee,,,,,,,,,,,
Dog,Person,Bowl,Chair,Couch,Dining Table,TV,Laptop,Remote,,,,
Dog,Person,Suitcase,,,,,,,,,,
Dog,Person,Car,Truck,Traffic Light,Umbrella,Chair,Clock,,,,,
Dog,Frisbee,Chair,,,,,,,,,,
Dog,Sheep,,,,,,,,,,,
Dog,Horse,,,,,,,,,,,
Dog,Person,,,,,,,,,,,
Dog,Car,,,,,,,,,,,
Dog,Person,Bench,,,,,,,,,,
Dog,Teddy Bear,,,,,,,,,,,
Dog,Bicycle,Boat,Person,Backpack,,,,,,,,
Dog,Teddy Bear,,,,,,,,,,,
Dog,Couch,,,,,,,,,,,
Dog,Person,Surfboard,,,,,,,,,,
Dog,Couch,TV,,,,,,,,,,
Dog,Teddy Bear,,,,,,,,,,,
Dog,Frisbee,,,,,,,,,,,
Dog,Person,Car,Truck,Tie,,,,,,,,
Dog,Person,Skateboard,,,,,,,,,,
Dog,Person,Bottle,Bowl,,,,,,,,,
Dog,Handbag,Couch,,,,,,,,,,
Dog,Chair,Couch,Teddy Bear,,,,,,,,,
Dog,Bench,,,,,,,,,,,
Dog,Backpack,Chair,Bed,Book,,,,,,,,
Dog,Person,Car,Traffic Light,Potted Plant,,,,,,,,
Dog,Person,Couch,Book,,,,,,,,,
Dog,Carrot,,,,,,,,,,,
Dog,Bicycle,,,,,,,,,,,
Dog,Person,,,,,,,,,,,
Dog,Person,Bicycle,Car,,,,,,,,,
Dog,Zebra,,,,,,,,,,,
Dog,Person,Skateboard,,,,,,,,,,
Dog,Cow,,,,,,,,,,,
Dog,Person,Handbag,Suitcase,,,,,,,,,
Dog,Apple,,,,,,,,,,,
Dog,Teddy Bear,,,,,,,,,,,
Dog,Person,Car,Motorcycle,Truck,Traffic Light,Fire Hydrant,Parking Meter,Bench,Suitcase,,,
Dog,Person,Bench,,,,,,,,,,
Dog,Person,Boat,,,,,,,,,,
Dog,Person,Scissors,Hairdryer,,,,,,,,,
Dog,Teddy Bear,,,,,,,,,,,
Dog,Frisbee,,,,,,,,,,,
Dog,Person,Car,Backpack,Skateboard,,,,,,,,
Dog,Person,Couch,,,,,,,,,,
Dog,Person,Bench,,,,,,,,,,
Dog,Person,Umbrella,Handbag,Bottle,Couch,Clock,,,,,,
Dog,Person,Car,Motorcycle,Truck,Phone,,,,,,,
Dog,Frisbee,,,,,,,,,,,
Dog,Person,Cat,Tie,Cup,TV,Book,,,,,,
Dog,Backpack,Handbag,Bottle,Cup,Spoon,Bowl,Chair,Dining Table,Laptop,Mouse,Keyboard,Book
Dog,Bottle,Cup,Bowl,Teddy Bear,,,,,,,,
Dog,Couch,,,,,,,,,,,
